Source;Target;Type;Weight
14;34;directed;1
14;34;directed;1
15;38;directed;1
15;38;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
15;34;directed;1
14;35;directed;1
14;34;directed;1
14;36;directed;1
14;36;directed;1
14;35;directed;1
14;35;directed;1
14;34;directed;1
14;35;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;36;directed;1
14;36;directed;1
14;36;directed;1
14;34;directed;1
14;36;directed;1
14;36;directed;1
14;34;directed;1
14;35;directed;1
14;35;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;36;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;36;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
15;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
14;36;directed;1
15;38;directed;1
14;36;directed;1
14;34;directed;1
14;34;directed;1
14;34;directed;1
15;34;directed;1
14;34;directed;1
14;34;directed;1
14;36;directed;1
14;36;directed;1
14;36;directed;1
14;34;directed;1
14;34;directed;1
14;35;directed;1
14;34;directed;1
